0;0;0.8237;1.1709;1.2183;3.2442;7.8092
1;0;1.6347;1.3155;2.7564;3.1994;6.7167
2;0;1.3531;0.8387;2.7989;3.9601;7.6188
3;0;0.2023;1.3072;1.4439;4.3861;6.2597
4;0;0.4509;0.7280;2.9602;4.8159;6.7486
5;0;0.7523;1.3946;2.1038;4.4135;6.6606
6;0;0.5424;0.5966;1.0025;3.6463;6.4373
7;0;1.6493;0.7198;1.0684;4.5680;6.6390
8;0;0.8281;1.0047;2.3163;3.5840;7.9694
9;0;0.9481;0.7934;2.5839;4.3790;7.9730
10;0;1.6749;1.3463;1.4289;4.8037;7.5086
11;0;1.1420;0.7471;2.2978;3.2813;7.9076
12;0;1.7668;0.8546;1.1008;4.9609;7.3555
13;0;0.6305;1.3863;2.7952;3.6065;7.3405
14;0;0.5473;1.1958;1.3499;4.7505;7.9755
15;0;0.4555;0.8428;1.5624;4.9032;6.0646
16;0;0.6283;1.3734;2.7573;3.9643;7.5505
17;0;1.2127;0.5709;1.0446;3.5637;6.4231
18;0;1.7618;0.7610;2.1324;3.0530;6.4830
19;0;0.5903;0.7956;1.2555;3.2831;7.1976
20;0;1.4769;0.8586;1.5892;4.9460;6.4677
21;0;0.6518;0.6327;2.1533;4.1271;6.1685
22;0;1.1743;1.3312;2.9153;3.9752;6.6267
23;0;1.3727;0.6205;1.7685;4.5105;6.8046
24;0;1.1533;1.2314;2.3267;3.3240;7.5158
25;0;1.6478;0.9059;1.1069;3.0653;7.0949
26;0;1.2436;1.3307;2.8121;4.8937;7.6073
27;0;0.4239;0.7292;2.8727;4.4331;7.5855
28;0;0.2329;0.8255;2.2479;4.9565;7.6262
29;0;1.6997;1.2112;2.8672;3.6431;6.9329
30;0;0.7374;1.4174;1.3956;4.9986;6.1587
31;0;1.7291;1.4041;1.9705;3.0183;7.8736
32;0;0.2524;1.1614;2.5350;4.8776;7.2166
33;0;1.1138;0.5787;2.6750;4.0150;7.5905
34;0;1.2084;1.0281;1.2415;3.5084;7.0127
35;0;1.6942;0.6915;1.4350;4.7349;7.0262
